thickness,airX,airY,X_metal,Y_metal,X,Y,Phase
0.21,0.9619,-0.0646,0.8897,-0.1655,-0.0722,-0.1009,35.58599241
0.32,0.9565,-0.0643,0.8461,-0.2012,-0.1104,-0.1369,38.88367838
0.42,0.9564,-0.0643,0.8148,-0.2224,-0.1416,-0.1581,41.848759
0.55,0.9664,-0.0649,0.7804,-0.2361,-0.186,-0.1712,47.37260019
0.6,0.9625,-0.0649,0.7523,-0.2388,-0.2102,-0.1739,50.39879652
0.7,0.9792,-0.0671,0.7435,-0.2416,-0.2357,-0.1745,53.48568095
0.8,0.9814,-0.0669,0.7202,-0.2383,-0.2612,-0.1714,56.72702861
1.01,0.9645,-0.0645,0.6784,-0.2232,-0.2861,-0.1587,60.98281744
1.51,0.9564,-0.0641,0.6414,-0.1927,-0.315,-0.1286,67.79206686
2,0.9544,-0.0641,0.629,-0.1676,-0.3254,-0.1035,72.35569018
2.61,0.9587,-0.0643,0.633,-0.1505,-0.3257,-0.0862,75.17593765
3.61,0.9547,-0.0641,0.6335,-0.1424,-0.3212,-0.0783,76.30002018
4.63,0.96,-0.0645,0.6406,-0.1426,-0.3194,-0.0781,76.25959403
5.59,0.9583,-0.0643,0.6483,-0.1423,-0.31,-0.078,75.87681308
6.92,0.96,-0.0645,0.6335,-0.1452,-0.3265,-0.0807,76.11663306
7.9,0.96,-0.0645,0.6447,-0.1456,-0.3153,-0.0811,75.57533099
8.91,0.9598,-0.0645,0.6522,-0.1436,-0.3076,-0.0791,75.57872769
10.41,0.9645,-0.0648,0.6597,-0.1423,-0.3048,-0.0775,75.73399139
